framework,suite,test,time_ms
"alien-signals","kairo","avoidablePropagation","70.422"
"alien-signals","kairo","broadPropagation","141.945"
"alien-signals","kairo","deepPropagation","52.3481"
"alien-signals","kairo","diamond","89.3086"
"alien-signals","kairo","mux","171.7729"
"alien-signals","kairo","repeatedObservers","10.6392"
"alien-signals","kairo","triangle","33.0878"
"alien-signals","kairo","unstable","31.3501"
"alien-signals","mol","molBench","341.8916"
"alien-signals","s","createDataSignals","4.2278"
"alien-signals","s","createComputations0to1","2.6599"
"alien-signals","s","createComputations1to1","7.8503"
"alien-signals","s","createComputations2to1","6.7414"
"alien-signals","s","createComputations4to1","6.1099"
"alien-signals","s","createComputations1000to1","5.1967"
"alien-signals","s","createComputations1to2","6.0122"
"alien-signals","s","createComputations1to4","5.1939"
"alien-signals","s","createComputations1to8","4.7643"
"alien-signals","s","createComputations1to1000","4.7067"
"alien-signals","s","updateComputations1to1","16.3793"
"alien-signals","s","updateComputations2to1","10.1156"
"alien-signals","s","updateComputations4to1","6.6222"
"alien-signals","s","updateComputations1000to1","3.4692"
"alien-signals","s","updateComputations1to2","11.3457"
"alien-signals","s","updateComputations1to4","9.8885"
"alien-signals","s","updateComputations1to1000","10.2523"
"alien-signals","dynamic","10x5 - 2 sources - read 20% (simple component)","133.7995"
"alien-signals","dynamic","10x10 - 6 sources - dynamic - read 20% (dynamic component)","121.1008"
"alien-signals","dynamic","1000x12 - 4 sources - dynamic (large web app)","202.3874"
"alien-signals","dynamic","1000x5 - 25 sources (wide dense)","399.7394"
"alien-signals","dynamic","5x500 - 3 sources (deep)","94.8592"
"alien-signals","cellx","cellx10","0.0232"
"alien-signals","cellx","cellx20","0.0243"
"alien-signals","cellx","cellx30","0.0214"
"@angular/signals","kairo","avoidablePropagation","165.9727"
"@angular/signals","kairo","broadPropagation","480.9847"
"@angular/signals","kairo","deepPropagation","144.8248"
"@angular/signals","kairo","diamond","260.573"
"@angular/signals","kairo","mux","440.8038"
"@angular/signals","kairo","repeatedObservers","35.8071"
"@angular/signals","kairo","triangle","101.5474"
"@angular/signals","kairo","unstable","83.6945"
"@angular/signals","mol","molBench","346.7954"
"@angular/signals","s","createDataSignals","15.4564"
"@angular/signals","s","createComputations0to1","5.8645"
"@angular/signals","s","createComputations1to1","32.5907"
"@angular/signals","s","createComputations2to1","32.2759"
"@angular/signals","s","createComputations4to1","30.7274"
"@angular/signals","s","createComputations1000to1","23.6705"
"@angular/signals","s","createComputations1to2","21.7047"
"@angular/signals","s","createComputations1to4","12.4948"
"@angular/signals","s","createComputations1to8","10.0367"
"@angular/signals","s","createComputations1to1000","8.4169"
"@angular/signals","s","updateComputations1to1","19.3881"
"@angular/signals","s","updateComputations2to1","13.8414"
"@angular/signals","s","updateComputations4to1","8.538"
"@angular/signals","s","updateComputations1000to1","3.9803"
"@angular/signals","s","updateComputations1to2","20.3715"
"@angular/signals","s","updateComputations1to4","18.8977"
"@angular/signals","s","updateComputations1to1000","20.2694"
"@angular/signals","dynamic","10x5 - 2 sources - read 20% (simple component)","430.9453"
"@angular/signals","dynamic","10x10 - 6 sources - dynamic - read 20% (dynamic component)","317.509"
"@angular/signals","dynamic","1000x12 - 4 sources - dynamic (large web app)","553.7043"
"@angular/signals","dynamic","1000x5 - 25 sources (wide dense)","957.6835"
"@angular/signals","dynamic","5x500 - 3 sources (deep)","244.0483"
"@angular/signals","cellx","cellx10","0.0388"
"@angular/signals","cellx","cellx20","0.0589"
"@angular/signals","cellx","cellx30","0.061"
"MobX","kairo","avoidablePropagation","303.3288"
"MobX","kairo","broadPropagation","806.8644"
"MobX","kairo","deepPropagation","281.0331"
"MobX","kairo","diamond","373.4238"
"MobX","kairo","mux","419.4389"
"MobX","kairo","repeatedObservers","27.6962"
"MobX","kairo","triangle","129.301"
"MobX","kairo","unstable","64.7727"
"MobX","mol","molBench","350.763"
"MobX","s","createDataSignals","6.0038"
